Component#1,Component#2,Smiles#1,Smiles#2,X#1 (molar fraction),"Tmelt, K"
2-hydroxyethyl(trimethyl)azanium;chloride,N-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)Nc1ccc(O)cc1,0.893,537.55
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(O)C(=O)O,0.896,537.15
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.9,536.7
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCO,0.944,536.25
2-(trimethylazaniumyl)acetate,2-hydroxybenzoic acid,C[N+](C)(C)CC(=O)[O-],O=C(O)c1ccccc1O,0.897,534.8
2-(trimethylazaniumyl)acetate,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CC(=O)[O-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.899,534.7
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],OCCO,0.901,533.04
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CO,0.899,532.58
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.896,531.356
2-(trimethylazaniumyl)acetate,octadecan-1-ol,C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,0.899,529.6
2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CCO.[Cl-],CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.9,529.3
2-(trimethylazaniumyl)acetate,"(2S,4R)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CC(=O)[O-],OC[C@@H](O)C(O)[C@@H](O)CO,0.75,528.63
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)Oc1ccccc1C(=O)O,0.8,527.48
tetramethylazanium;chloride,hexadecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.806,525.25
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],OCC(O)CO,0.906,522.703
2-(trimethylazaniumyl)acetate,urea,C[N+](C)(C)CC(=O)[O-],NC(N)=O,0.901,522.2
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.896,520.95
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.893,520.08
tetramethylazanium;chloride,dodecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCC(=O)O,0.798,518.85
2-(trimethylazaniumyl)acetate,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CC(=O)[O-],Cc1ccc(C(C)C)c(O)c1,0.795,518.8
2-hydroxyethyl(trimethyl)azanium;chloride,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CCO.[Cl-],Cc1ccc(C(C)C)c(O)c1,0.9,518
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.85,517.95
2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.898,516.9
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)C(O)C(O)C(=O)O,0.9,514.45
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.877,513.35
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCO,0.898,513.25
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)(CC(=O)O)C(=O)O,0.899,512.35
2-(trimethylazaniumyl)acetate,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CC(=O)[O-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.799,512.2
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.901,510.18
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.888,508.55
2-(trimethylazaniumyl)acetate,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CC(=O)[O-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.799,507.4
tetramethylazanium;chloride,tetradecan-1-ol,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCO,0.8,506.6
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.84,505.7
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccccc1O,0.794,505.7
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.849,505.68
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CO,0.848,504.58
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.85,504.28
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.844,504.25
tetramethylazanium;chloride,tetradecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCC(=O)O,0.696,503.85
ChCl,[N2222]Cl,C[N+](C)(C)CCO.[Cl-],CC[N+](CC)(CC)CC.[Cl-],0.498984122,503.03
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.803,502.18
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(O)C(=O)O,0.847,501.55
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.789,500.92
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.85,499.8
[N1111]Cl,[NH4]Cl,C[N+](C)(C)C.[Cl-],[NH4+].[Cl-],0.39404567,499.46
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],OCC(O)CO,0.852,498.378
tetramethylazanium;chloride,decanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,0.692,497.45
