Component#1,Component#2,Smiles#1,Smiles#2,X#1 (molar fraction),"Tmelt, K"
"1,10-phenanthroline","2,6-ditert-butyl-4-methylphenol",c1cnc2c(c1)ccc1cccnc12,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.2122,372.8512
mannitol,arabitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,C([C@@H](C([C@H](CO)O)O)O)O,0.067652905,372.78
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.598,372.65
fructose,glucose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,0.722269554,372.32
2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.599,372.3
"1H-Imidazolium, 3-[2-[(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl]ethyl]-1-methyl-, methanesulfonate (1:1) (ACI)",urea,CS(=O)(=O)[O-].Cn1cc[n+](CCC2=CC[C@H]3C[C@@H]2C3(C)C)c1,NC(N)=O,0.1,372.059
2-(trimethylazaniumyl)acetate,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CC(=O)[O-],CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.498,371.7
2-hydroxyethyl(trimethyl)azanium;chloride,N-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)Nc1ccc(O)cc1,0.302,371.52
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCO,0.681,371.45
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.301,371.42
tetrapentylazanium;bromide,butanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCC(=O)O,0.946,371.304
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)(CC(=O)O)C(=O)O,0.448,370.98
tetrapentylazanium;bromide,heptanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCCCCC(=O)O,0.89,370.69
tetrapentylazanium;bromide,heptanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCCCCC(=O)O,0.173,370.69
"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0.7046,370.61
"1H-Imidazolium, 3-[2-[(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl]ethyl]-1-methyl-, methanesulfonate (1:1) (ACI)",urea,CS(=O)(=O)[O-].Cn1cc[n+](CCC2=CC[C@H]3C[C@@H]2C3(C)C)c1,NC(N)=O,0.819,370.588
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],OCCO,0.602,370.485
tetrapentylazanium;bromide,"(2S,3R)-butane-1,2,3,4-tetrol",CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@@H](O)[C@@H](O)CO,0.904,370.3
Choline chloride,4-Hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],C1=CC(=CC=C1C(=O)O)O,0.333333333,370.15
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,[Cl-].[Sn+2].[Cl-],C[N+](C)(C)CCO.[Cl-],0.7807,370.0227
2-(trimethylazaniumyl)acetate,urea,C[N+](C)(C)CC(=O)[O-],NC(N)=O,0.299,369.5
2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.3,368.9
tetrapentylazanium;bromide,"(2S,3R)-butane-1,2,3,4-tetrol",CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@@H](O)[C@@H](O)CO,0.4,368.8
"1,10-phenanthroline",5-methyl-2-propan-2-ylphenol,c1cnc2c(c1)ccc1cccnc12,Cc1ccc(C(C)C)c(O)c1,0.8039,368.2231
Choline chloride,Benzoic acid,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)O,0.5,368.15
2-hydroxyethyl(trimethyl)azanium;chloride,benzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccccc1,0.5,368.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC1OC[C@H](O)[C@H](O)[C@H]1O,0.598,367.68
mannitol,xylitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,C([C@H](C([C@H](CO)O)O)O)O,0.046678148,367.35
2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,C[N+](C)(C)CCO.[Cl-],c1c[nH]cn1,0.6,367.3331
mannitol,sorbitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.033872193,366.94
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccccc1O,0.295,366.8
[N2222]I,glutaric acid,CC[N+](CC)(CC)CC.[I-],C(CC(=O)O)CC(=O)O,0.160221156,366.73
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],OCC(O)CO,0.652,366.622
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.398,366.25
Choline chloride,Cinnamic acid,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)/C=C/C(=O)O,0.5,366.15
Choline chloride,Suberic acid,C[N+](C)(C)CCO.[Cl-],C(CCCC(=O)O)CCC(=O)O,0.5,366.15
2-hydroxyethyl(trimethyl)azanium;chloride,octanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCCCCC(=O)O,0.5,366.15
2-hydroxyethyl(trimethyl)azanium;chloride,(E)-3-phenylprop-2-enoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)/C=C/c1ccccc1,0.5,366.15
pyridine-3-carboxamide,2-hydroxyacetic acid,NC(=O)c1cccnc1,O=C(O)CO,0.8067,366.0099
2-hydroxyethyl(trimethyl)azanium;chloride,butanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCC(=O)O,0.65,366
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,4R)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)C(O)[C@@H](O)CO,0.6,365.59
2-hydroxyethyl(trimethyl)azanium;chloride,benzamide,C[N+](C)(C)CCO.[Cl-],NC(=O)c1ccccc1,0.3333,365.15
Choline chloride,Benzamide,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)N,0.333333333,365.15
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.351,364.75
tetrapentylazanium;bromide,butanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCC(=O)O,0.822,364.596
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,[Cl-].[Fe+3].[Cl-].[Cl-],C[N+](C)(C)CCO.[Cl-],0.4102,364.5682
2-hydroxyethyl(trimethyl)azanium;chloride,"(3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0.3,364.48
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)C(O)C(O)C(=O)O,0.448,364.32
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.05,364.25
Tetraphenylphosphonium chloride,"2,2,2-trifluoroacetamide",C1=CC=C(C=C1)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,0.333333333,364.15
zinc;dichloride,tetraethylazanium;chloride,[Cl-].[Cl-].[Zn+2],CC[N+](CC)(CC)CC.[Cl-],0.666667,364.15
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CO,0.598,364.15
maltitol,xylitol,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,C([C@H](C([C@H](CO)O)O)O)O,0.10179761,364.14
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)(CC(=O)O)C(=O)O,0.501,364.05
2-hydroxyethyl(trimethyl)azanium;chloride,butanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCC(=O)O,0.45,364
betaine,sorbitol,C[N+](C)(C)CC(=O)[O-],C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.157081814,363.9
2-(trimethylazaniumyl)acetate,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CC(=O)[O-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.1,363.9
tetraethylazanium;chloride,hexadecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.624,363.801
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.595,363.771
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],NC(=O)C(F)(F)F,0.666667,363.73
"1,10-phenanthroline",4-chloro-5-methyl-2-propan-2-ylphenol,c1cnc2c(c1)ccc1cccnc12,Cc1cc(O)c(C(C)C)cc1Cl,0.9003,363.595
ChCl,[C4Py]Cl,C[N+](C)(C)CCO.[Cl-],CCCC[N+]1=CC=CC=C1.[Cl-],0.404541951,363.5
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.632,363.25
Choline chloride,Isomaltose,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,0.786209748,363.15
Dimethylurea,Isomaltose,CNC(=O)NC,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,0.85353082,363.15
Choline chloride,Tricarballyic acid,C[N+](C)(C)CCO.[Cl-],C(C(CC(=O)O)C(=O)O)C(=O)O,0.5,363.15
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(CC(=O)O)C(=O)O,0.7,363.15
tetrapentylazanium;bromide,"(2S,3R)-butane-1,2,3,4-tetrol",CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@@H](O)[C@@H](O)CO,0.788,363.1
tetrapropylazanium;chloride,hexadecanoic acid,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.7,363.05
2-hydroxyethyl(trimethyl)azanium;chloride,butanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCC(=O)O,0.6,363
tetraethylazanium;chloride,hexadecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.587,362.95
maltitol,sorbitol,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.123182212,362.51
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,[Cl-].[Fe+3].[Cl-].[Cl-],C[N+](C)(C)CCO.[Cl-],0.6056,362.3864
2-hydroxyethyl(trimethyl)azanium;chloride,benzamide,C[N+](C)(C)CCO.[Cl-],NC(=O)c1ccccc1,0.42,362.15
tetraethylazanium;chloride,tetradecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCC(=O)O,0.511,361.95
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.103,361.62
2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,C[N+](C)(C)CCO.[Cl-],c1c[nH]cn1,0.5,361.2913
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.303,361.211
2-hydroxyethyl(trimethyl)azanium;chloride,2-phenylacetic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)Cc1ccccc1,0.552,361.15
2-hydroxyethyl(trimethyl)azanium;chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)C(=O)O,0.3,361
2-(trimethylazaniumyl)acetate;hydrate,propanoic acid,C[N+](C)(C)CC(=O)[O-].O,CCC(=O)O,0.335,360.871
tetrapentylazanium;bromide,butanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCC(=O)O,0.706,360.87
2-(trimethylazaniumyl)acetate,2-hydroxybenzoic acid,C[N+](C)(C)CC(=O)[O-],O=C(O)c1ccccc1O,0.398,360.8
"1H-Imidazolium, 3-[2-[(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl]ethyl]-1-methyl-, methanesulfonate (1:1) (ACI)",urea,CS(=O)(=O)[O-].Cn1cc[n+](CCC2=CC[C@H]3C[C@@H]2C3(C)C)c1,NC(N)=O,0.71,360.294
tetramethylazanium;chloride,tetradecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCC(=O)O,0.398,360.25
Choline chloride,4-Hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],C1=CC(=CC=C1C(=O)O)O,0.666666667,360.15
Choline chloride,Resorcinol,C[N+](C)(C)CCO.[Cl-],C1=CC(=CC(=C1)O)O,0.2,360.15
2-hydroxyethyl(trimethyl)azanium;chloride,4-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccc(O)cc1,0.67,360.15
2-hydroxyethyl(trimethyl)azanium;chloride,4-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccc(O)cc1,0.6667,360.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5R)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC1OC[C@@H](O)[C@H](O)[C@H]1O,0.293,359.82
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC1OC[C@H](O)[C@H](O)[C@H]1O,0.3,359.72
2-(trimethylazaniumyl)acetate,2-hydroxybenzoic acid,C[N+](C)(C)CC(=O)[O-],O=C(O)c1ccccc1O,0.199,359.7
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.59,359.641
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.122,359.322
2-(trimethylazaniumyl)acetate,urea,C[N+](C)(C)CC(=O)[O-],NC(N)=O,0.192,359.3
2-(trimethylazaniumyl)acetate,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CC(=O)[O-],Cc1ccc(C(C)C)c(O)c1,0.499,359.2
tetrapentylazanium;bromide,heptanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCCCCC(=O)O,0.28,359.195
Choline chloride,Resorcinol,C[N+](C)(C)CCO.[Cl-],C1=CC(=CC(=C1)O)O,0.222222222,359.15
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,[Cl-].[Fe+3].[Cl-].[Cl-],C[N+](C)(C)CCO.[Cl-],0.7553,359.1136
2-hydroxyethyl(trimethyl)azanium;chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)C(=O)O,0.6,359
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.101,358.68
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.399,358.68
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.6,358.52
tetrapentylazanium;bromide,"(2S,3R)-butane-1,2,3,4-tetrol",CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@@H](O)[C@@H](O)CO,0.747,358.3
Choline chloride,Adipic acid,C[N+](C)(C)CCO.[Cl-],C(CCC(=O)O)CC(=O)O,0.5,358.15
2-hydroxyethyl(trimethyl)azanium;chloride,hexanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCCC(=O)O,0.5,358.15
"1H-Imidazolium, 3-[2-[(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl]ethyl]-1-methyl-, methanesulfonate (1:1) (ACI)",4-oxopentanoic acid,CS(=O)(=O)[O-].Cn1cc[n+](CCC2=CC[C@H]3C[C@@H]2C3(C)C)c1,CC(=O)CCC(=O)O,0.705,357.971
tetrapentylazanium;bromide,butanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCC(=O)O,0.593,357.888
tetrabutylazanium;bromide,1H-imidazole,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],c1c[nH]cn1,0.1,357.7936
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)C(O)C(O)C(=O)O,0.705,357.62
[N3333]Br,adipic acid,CCC[N+](CCC)(CCC)CCC.[Br-],C(CCC(=O)O)CC(=O)O,0.617507595,357.32
2-hydroxyethyl(trimethyl)azanium;chloride,urea,C[N+](C)(C)CCO.[Cl-],NC(N)=O,0.56,357.283
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)(CC(=O)O)C(=O)O,0.549,356.75
"1,10-phenanthroline",5-methyl-2-propan-2-ylphenol,c1cnc2c(c1)ccc1cccnc12,Cc1ccc(C(C)C)c(O)c1,0.717,356.6529
[N2222]Br,adipic acid,CC[N+](CC)(CC)CC.[Br-],C(CCC(=O)O)CC(=O)O,0.50773174,356.52
2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,C[N+](C)(C)CCO.[Cl-],c1c[nH]cn1,0.4,355.979
2-hydroxyethyl(trimethyl)azanium;chloride,"benzene-1,3-diol",C[N+](C)(C)CCO.[Cl-],Oc1cccc(O)c1,0.905,355.902
tetrapentylazanium;bromide,"(2S,3R)-butane-1,2,3,4-tetrol",CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@@H](O)[C@@H](O)CO,0.502,355.9
tetrabutylazanium;bromide,1H-imidazole,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],c1c[nH]cn1,0.6,355.6607
[N5555]Br,succinic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],C(CC(=O)O)C(=O)O,0.597722054,355.65
betaine,urea,C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,0.203728159,355.3
tetrapentylazanium;bromide,heptanedioic acid,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],O=C(O)CCCCCC(=O)O,0.78,355.172
2-hydroxyethyl(trimethyl)azanium;chloride,urea,C[N+](C)(C)CCO.[Cl-],NC(N)=O,0.197,355.069
[N4444]Br,succinic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC(=O)O)C(=O)O,0.816589691,354.99
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)Oc1ccccc1C(=O)O,0.206,354.85
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.213,354.72
2-(trimethylazaniumyl)acetate,benzoic acid,C[N+](C)(C)CC(=O)[O-],O=C(O)c1ccccc1,0.3,353.8
tetrapropylazanium;chloride,tetradecanoic acid,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCCCCCC(=O)O,0.6,353.75
dulcitol,sorbitol,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.097109452,353.68
methyl(triphenyl)phosphanium;bromide,"propane-1,2,3-triol",C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],OCC(O)CO,0.666667,353.58
2-hydroxyethyl(trimethyl)azanium;chloride,"(3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0.401,353.58
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.35,353.363
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.551,353.18
Imidazole,Sorbitol,C1=CN=CN1,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.861946831,353.15
Dimethylurea,Glucose,CNC(=O)NC,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,0.826719984,353.15
Pyrazole,Glucose,C1=CNN=C1,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,0.725749275,353.15
Dimethylurea,Mannose,CNC(=O)NC,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,0.754123064,353.15
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccccc1O,0.403,352.7
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.151,352.58
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)C(O)C(O)C(=O)O,0.498,352.35
2-hydroxyethyl(trimethyl)azanium;chloride,N-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)Nc1ccc(O)cc1,0.407,352.08
methyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],OCCO,0.5,352.08
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.539,351.794
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(O)C(=O)O,0.599,351.42
2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.513,351.25
2-hydroxyethyl(trimethyl)azanium;chloride,benzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccccc1,0.28,351.15
2-hydroxyethyl(trimethyl)azanium;chloride,oxalic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)C(=O)O,0.35,351
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,4R)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)C(O)[C@@H](O)CO,0.603,350.973
2-hydroxyethyl(trimethyl)azanium;chloride,"benzene-1,3-diol",C[N+](C)(C)CCO.[Cl-],Oc1cccc(O)c1,0.803,350.927
"1,10-phenanthroline","2,6-ditert-butyl-4-methylphenol",c1cnc2c(c1)ccc1cccnc12,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.1093,350.2893
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],NC(=O)C(F)(F)F,0.727273,350.19
Dimethylurea,Sorbitol,CNC(=O)NC,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.756174505,350.15
Choline chloride,Gallic acid,C[N+](C)(C)CCO.[Cl-],C1=C(C=C(C(=C1O)O)O)C(=O)O,0.666666667,350.15
2-hydroxyethyl(trimethyl)azanium;chloride,"3,4,5-trihydroxybenzoic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)c1cc(O)c(O)c(O)c1,0.67,350.15
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.135,350
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,4R)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)C(O)[C@@H](O)CO,0.2,349.89
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.31,349.75
Tetrabutylammonium bromide,Triethanol amine,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N(CCO)CCO,0.25,349.73
